#
# --- THIS DATASET HAS BEEN PREPARED IN THE CONTEXT OF A RESEARCH PROJECT. DATA SHOULD NOT BE USED TO SUPPORT THE DESIGN OF FLOOD MITIGATION INFRASTRUCTURE. ---
# Author : Julien Lerat, CSIRO Environment
# Reference : Lerat and Vaze (2025), When the impossible flood happens: how February 2022 redefines extreme floods in Australia. Communications Earth and Environment
# Version : 5
# Date : 2025-04-13 11:52:33.846679
# Source file : DATA_prepare_flood_data.py
#
FLOODID,EVENT,ZONE,REGION,CATEGORY,START_DATE,END_DATE,FATALITIES,INJURED,INSURED_COST,URL,DESCRIPTION,SOURCES,LONGITUDE_MIN,LONGITUDE_MAX,LATITUDE_MIN,LATITUDE_MAX,INSURANCECOUNCILAUSTRALIA_CATID,INSURANCECOUNCILAUSTRALIA_DESCRIPTION,INSURANCECOUNCILAUSTRALIA_NORMLOSSVALUE,INSURANCECOUNCILAUSTRALIA_TOTALCLAIMS,STATES,SHORTNAME,MORE_THAN_5_SITES_AVAILABLE
NorthQLD-Jan09,Flood - North Queensland ,Queensland,"Cairns, Townsville",Flood,2009-01-12,2009-02-14,1.0,0.0,38000000,https://knowledge.aidr.org.au/resources/flood-north-queensland-january-2009/ https://knowledge.aidr.org.au/resources/flood-north-queensland-february-2009/,"Blended event: [https://knowledge.aidr.org.au/resources/flood-north-queensland-january-2009/] In January 2009, heavy rainfall associated with an active monsoon trough and low pressure system, and the ensuing Tropical Cyclone Charlotte, fell along regions in northern Queensland. Subsequent flood warnings were issued for rivers situated along the coast from Cairns to Mackay. Major rivers affected included the Mulgrave, Russell, Haughton and the Don. Cairns airport received 189 mm of rain over a three hour period, with many coastal areas receiving in excess of 300 mm over 24 hours..The heavy deluge caused damage to infrastructure, houses and buildings..The Insurance Council of Australia estimated the 2009 damage at $19m. This is the combined total for Tropical Cyclone Charlotte and Tropical Cyclone Ellie. (see separate entry for North Queensland floods 31 January 2009). [https://knowledge.aidr.org.au/resources/flood-north-queensland-february-2009/] In early February 2009, a rain depression caused by Tropical Cyclone Elllie resulted in substantial flooding in Northern Queensland, affecting townships between Townsville and Cairns. Further heavy rain fell between 6 and 7 February, with Ingham receiving 236 mm, raising the floodwater level to over 12.5 metres..The monsoonal rain in North Queensland affected 62 per cent of the State. One of the heaviest falls was in Clonclurry which recorded more than 400 mm.  An area of over one million square km was declared a disaster zone as flood waters continued to rise. More than 3000 homes in Ingham were affected by the flooding..The Insurance Council of Australia estimated the 2009 damage at $19 million, with the 2011 estimated normalised cost of $22 million..This is the combined total for resulting floods from two events: Tropical Cyclone Charlotte and Tropical Cyclone Ellie. (see separate entry for North Queensland floods 12 January 2009).","Blended event: [https://knowledge.aidr.org.au/resources/flood-north-queensland-january-2009/] Bureau of Meteorology, Queensland flood summary 2000 - 2009, website viewed 17 May 2011
Bureau of Meteorology, Haughton River Floods – January and February 2009, website viewed 16 January 2015
Insurance Council of Australia, Historical and current disaster statistics, 21 April 2011, website viewed 17 May 2011. [https://knowledge.aidr.org.au/resources/flood-north-queensland-february-2009/] ABC News, ‘Queensland flood 2009’,  31 March 2009, website viewed 1 March 2010

Australian National Audit Office, Emergency management and community recovery assistance in Centrelink, website viewed 1 March 2011

Brisbane Times, ‘North Queensland flood damage bill tops $210m’, 16 February 2009, website viewed 25 February 2011

Disaster Assist, North Queensland floods Jan - Feb 2009,  website viewed 25 February 2011

Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012",136.0,155.0,-25.0,-10.0,091,Flooding Ex-Cyclone Ellie,36900000.0,0.0,QLD,Jan09,1
NorthCoastNSW-Apr09,Flood - Mid and North Coast ,New South Wales,Tamworth,Flood,2009-03-31,2009-04-02,,,37000000,https://knowledge.aidr.org.au/resources/flood-mid-and-north-coast-new-south-wales/,"During the period 31 March – 1 April 2009, Coffs Harbour and surrounding regions experienced heavy rainfall associated with severe storms.  The highest falls were recorded at; Red Hill 445 mm, Girralong 730 mm and Wooli 129 mm. The heights of the River systems increased significantly, with; Coffs Creek peaking at 5.14 metres, Bellinger River at 8.6 metres, and the Nambucca River at 10.4 metres...The effects of the flood were compounded by the heavy rainfall that occurred in February 2009. Consequently, the damage was extensive and affected critical infrastructure, businesses, local industry, property and, crops, while landslips also occurred in some areas. All major roads were closed in Coffs Harbour and immediately surrounding areas, which cut off access to several towns...There were 760 requests for help from the State Emergency Services (SES).  The response and recovery were assisted by; New South Wales Fire Brigades, Rural Fire Service, Ambulance Service, Police Force and local councils. Over 100 people were rescued, 800 people evacuated and were accommodated overnight in emergency centres and students at three schools stayed overnight...Several meteorological factors were reported as contributing to the event: a moist, convergent low-level airflow onto the hills inland from Coffs Harbour, a strongly backing vertical wind profile, and a mid-tropospheric trough to the west, which contributed to the upmotion and reduced static stability in the region...The Minister for Emergency Services declared Coffs Harbour, Nambucca and Bellingen local government areas, a natural disaster zone...The Insurance Council of Australia estimated the 2009 damage at $37 million with, the 2012 estimated normalised cost of $40 million.","ABC News, ‘Coffs Harbour on alert as floods worsen’, 31 March 2009, website viewed 14 July 2011
Bureau of Meteorology, Significant weather – March 2009, 2009, p 2, website viewed 15 July 2011
Coffs Coast Independent, ‘One-in-100-year flood for Coffs Harbour and more bad weather to come’, 1 April 2009, website viewed 14 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012
‘Meteorological aspects of the 31 March 2009 Coffs Harbour flash flood,’ MS Speer, J Phillips and BN Hanstrum, Australian Meteorological and Oceanographic Journal Vol. 61, 2011, pp. 201-210, website viewed 16 January 2015
New South Wales Government, The Hon Steve Whan MP Minister for Emergency Services, Media release, 1 April 2009, website viewed 14 July 2011
The Telegraph.com.au, ‘Thousands stranded in floods around Coffs Harbour’, 1 April 2009, website viewed 14 July 2011",150.0,155.0,-32.0,-28.0,094,"During the period 31 March â€“ 1 April 2009, Coffs Harbour and surrounding regions experienced heavy rainfall associated with severe storms.  The highest falls were recorded at; Red Hill 445 mm, Girralong 730 mm and Wooli 129 mm. The heights of the River systems increased significantly, with; Coffs Creek peaking at 5.14 metres, Bellinger River at 8.6 metres, and the Nambucca River at 10.4 metres._x000D_
_x000D_
The effects of the flood were compounded by the heavy rainfall that occurred in February 2009. Consequently, the damage was extensive and affected critical infrastructure, businesses, local industry, property and, crops, while landslips also occurred in some areas. All major roads were closed in Coffs Harbour and immediately surrounding areas, which cut off access to several towns._x000D_
_x000D_
There were 760 requests for help from the State Emergency Services (SES).  The response and recovery was assisted by; New South Wales Fire Brigades, Rural Fire Service, Ambulance Service, Police Force and local councils. Over 100 people were rescued, 800 people evacuated and were accommodated overnight in emergency centres and students at three schools stayed overnight._x000D_
_x000D_
Several meteorological factors were reported as contributing to the event: a moist, convergent low-level airflow onto the hills inland from Coffs Harbour, a strongly backing vertical wind profile, and a mid-tropospheric trough to the west, which contributed to the upmotion and reduced static stability in the region._x000D_
_x000D_
The Minister for Emergency Services declared Coffs Harbour, Nambucca and Bellingen local government areas, a natural disaster zone._x000D_
_x000D_
The Insurance Council of Australia estimated the 2009 damage at $37 million with, the 2012 estimated normalised cost of $40 million.",79100000.0,0.0,NSW,Apr09,1
SEQNNSW-May09,Flood - Northern New South Wales,New South Wales,Lismore (NSW),Flood,2009-05-20,2009-05-23,1.0,,48000000,https://knowledge.aidr.org.au/resources/flood-northern-new-south-wales-2009/,"On 20 May 2009, an east coast low formed off the south-east Queensland coast. In combination with a strong high pressure system in the southern Tasman Sea, gale to storm force east to south-east winds affected the northern New South Wales coast. Winds of up to 130 km/h were recorded at Byron Bay. Consequently, heavy rain occurred over a large part of the north-east region during the period 19 - 23 May, with additional heavy falls on 20 – 21 May. This was the third major flood to occur in the Mid North Coast this year, compounding damage previously caused during the February and April floods...As a result, 240 schools were closed across the region, the Tweed area was affected by a lightning strike that disabled powerlines to the north and south of the region (12,000 homes and businesses), and the Macleay River levee at Kempsey broke its banks inundating the township. Moreover, 16,000 people on the far north coast were without power overnight and up to 35,000 people were isolated by floodwaters... One fatality occurred when a person attempted to cross a flooded creek in Coffs Harbor...The State Government declared the following regions natural disaster areas; Kempsey, Coffs Harbour, Bellingen, Nambucca, Port Macquarie-Hastings, Tweed, Byron, Ballina, Lismore, Kyogle, Richmond Valley and Clarence Valley local Government areas.. .The Insurance Council of Australia estimated the 2009 damage at $48 million, with the 2011 normalised cost of $55 million.","ABC Sydney, ABC Mid North Coast: Emergency, 25 May 2009, website viewed 15 July 2011
Bureau of Meteorology, Moderate flood warning for the Nambucca River, 24 May 2009, website viewed 15 July 2011
Bureau of Meteorology, Significant weather, May 2009, p 2, website viewed 15 July 2011
Gold Coast Mail, ‘Northern NSW prepares for floods’, 20 May 2009, website viewed 15 July 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012
Ministry for Police and Emergency Services, NSW Government at work on flood recovery, media release, 24 May 2009, website viewed 15 July 2011
Sunshine Coast Daily, ‘Rain eases but gales batter coast’, 24 May 2009, website viewed 15 July 2011
The Australian, ‘Storms hit NSW north coast’, 21 May 2009, website viewed 15 July 2011",150.0,155.0,-32.0,-26.0,,,,,NSW,May09,1
QLD-Mar10,Flood - Queensland ,Queensland,"Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah",Flood,2010-02-28,2010-03-05,,,46700000,https://knowledge.aidr.org.au/resources/flood-queensland-2010/,"In the last week of February through to the first week of March 2010, Queensland, Central Australia and Northern New South Wales experienced unprecedented rainfall and serious flooding in several regions. Queensland recorded the highest state wide average rainfall on 2 March, with 31.74 mm...As a result, the heavy deluge brought about widespread flooding to numerous rivers including Paroo, Moonie, Balonne, Dawson, Theodore, Moura, Maranoa, Warrego, Diamantina, Bulloo, Condamine, Weir, Mary, Burnett, and Comet. This had a devastating impact on infrastructure including roads, railways and bridges, as well as agriculture and horticulture industries including farms, crops and livestock...The Insurance Council of Australia estimated the 2010 damage at $46.7 million, with the 2011 estimated normalised cost of $49 million.","Bureau of Meteorology, Queensland flood summary 2010 -onwards, website viewed 13 May 2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012",140.0,155.0,-30.0,-15.0,101,"In the last week of February through to the first week of March 2010, Queensland, Central Australia and Northern New South Wales experienced unprecedented rainfall and serious flooding in several regions. Queensland recorded the highest state wide average rainfall on 2 March, with 31.74 mm._x000D_
 As a result the heavy deluge brought about widespread flooding to numerous rivers including Paroo, Moonie, Balonne, Dawson, Theodore, Moura, Maranoa, Warrego, Diamantina, Bulloo, Condamine, Weir, Mary, Burnett, and Comet. This had devastating impact on infrastructure including roads, railways and bridges, as well as agriculture and horticulture industries including farms, crops and livestock.",71900000.0,0.0,QLD,Mar10,1
QLD-Dec10,Flood - Queensland,Queensland,Brisbane,Flood,2010-11-30,2011-01-17,33.0,,2380000000,https://knowledge.aidr.org.au/resources/flood-queensland-2010-2011/,"In late November 2010, rain began falling in Queensland. By January 2011, extensive flooding had impacted 75 per cent of the state and a disaster zone was declared. In total, 33 people lost their lives, with three bodies never recovered and declared deceased by the State Coroner in June 2012. Evacuations numbers totaled 5 900 people from 3 600 homes. An estimated 28 000 homes were in need of rebuilding; scores more would require extensive repairs. The final report of a judicial inquiry into the event was published in March 2012...The economic and commercial impact of the floods was significant. Approximately 3 572 businesses were inundated, with an estimated $4 billion in losses across the mining, agriculture and tourism sectors. Nineteen thousand kilometres of road were damaged, and three major ports significantly affected. Over 28 per cent of the Queensland rail network was left twisted and displaced. ..The Insurance Council of Australia estimates the 2011 damage at $2.38 billion...Affected areas..On 25 December 2010, Cyclone Tasha crossed the northern Queensland coast and brought disaster to every river system south of the Tropic of Capricorn, and as far west as Longreach and Charleville. The flooding engulfed Alpha, Jericho, Chinchilla, Dalby, Theodore, Warwick, Bundaberg, Gayndah, Munduberra, Emerald, Rockhampton, Condamine and St George. The Condamine River, the Balonne River, the Burnett River, the Comet River, the Dawson River and the Nagoa River reached flood peaks never before recorded...On 10 January 2011, a wall of water swept through Toowoomba, then travelled west, flooding Oakey, Dalby, Chinchilla and Condamine for a second time. This caused flooding through the Lockyer Valley, including Murphy’s Creek, Postman’s Ridge, Helidon, Grantham, Laidley, Lowood, Fernvale and Forrest Hill...The floodwaters affected the Bremer, Lockyer and Brisbane River systems, reaching heights that engulfed Ipswich, Goodna, Gailes, Karalee and suburbs of Brisbane.","AAP General News Wire Sydney, ‘QLD Floods inquiry holds first hearing,’ viewed on ProQuest website (ID 2261830321), 10 February 2011
Anna Bligh, Premier and Minister for the Arts, media release 15 February 2011, website viewed 10 February 2011
Insurance Council of Australia, 'Historical disaster statistics,' 21 April 2011, website viewed 17 February 2011
The Age, ‘Floods bill balloons to $20b,’ 18 January 2011, website viewed 18 January 2011",145.0,155.0,-31.0,-20.0,112A|112B,"Riverine flooding from the Brisbane and Bremmer rivers impacting on the Brisbane LGA. approximately 5,500 residential properties were innundated, along with commercial and industrial parks.. Devastating flooding throught the Lockyer Valley that resulted in multiple deaths.",2904300000.0,0.0,QLD,Dec10-1,1
GascoyneRiver-Dec10,Flood - Gascoyne river,Western Australia,Gascoyne River,Flood,2010-12-16,2010-12-18,,,90000000,https://knowledge.aidr.org.au/resources/flood-gascoyne-river-western-australia/,"From 16 to 18 December 2010, heavy rainfall in the Gascoyne River catchment caused major flooding, with falls in excess of 250-300 mm in a 24-hour period...Highest river levels on record were measured at three of the five river gauging stations along the Gascoyne River. The flood caused significant soil erosion, with extensive damage caused to crops and infrastructure. Homes and homesteads in the nearby towns of Carnarvon and Gascoyne Junction were flooded and the 100 year-old local pub was washed away. At least 2000 cattle drowned...Western Australia’s Department of Agriculture and Food estimated the damage to be $90 million..","From 16 to 18 December 2010, heavy rainfall in the Gascoyne River catchment caused major flooding, with falls in excess of 250-300 mm in a 24-hour period.

Highest river levels on record were measured at three of the five river gauging stations along the Gascoyne River. The flood caused significant soil erosion, with extensive damage caused to crops and infrastructure. Homes and homesteads in the nearby towns of Carnarvon and Gascoyne Junction were flooded and the 100 year-old local pub was washed away. At least 2000 cattle drowned.

Western Australia’s Department of Agriculture and Food estimated the damage to be $90 million.
",110.0,120.0,-27.0,-20.0,,,,,WA,Dec10-2,0
VIC-Jan11,Flood - Victoria ,Victoria,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",Flood,2011-01-12,2011-01-18,,,122465000,https://knowledge.aidr.org.au/resources/flood-victoria-2011/,"On 13 and 14 January 2011, large amounts of tropical air combined with a low pressure trough brought heavy rain to areas of south-east Australia. The heaviest rain spread into Victoria, resulting in record rainfall in parts of west and north-west Victoria. This, combined with saturated conditions of the catchment and floodplains, caused severe flooding...Jeparit recorded the highest daily rainfall of 161.2 mm, with seven other monitoring stations breaking their highest daily rainfall records. Weather stations at Kyneton, Annuello, Rupanyup and Maryborough observed their highest ever rainfall total for anymonth on record...The Wimmera, Avoca, Loddon and Campaspe river catchment areas all reached record flood peaks. The Barwon catchment and the Lerderderg River in the Werribee catchment also experienced major flooding. The towns of Charlton, Bridgewater, Carisbrook, Rochester, Horsham and Echuca experienced the greatest levels of inundation...The flooding of the Goulburn River resulted in the drowning of a person in a flooded billabong near Shepparton...The Insurance Council of Australia estimated the preliminary 2011 damage at $126 million.","Information Sources
Bureau of Meteorology, SPECIAL CLIMATE STATEMENT 24; Frequent heavy rain events in late 2010/early 2011 lead to widespread flooding across eastern Australia. First Issued 7th January 2011, Updated 25th January 2011
Bureau of Meteorology, SPECIAL CLIMATE STATEMENT 26; Record wet January brings unprecedented flooding to northwest Victoria. First Issued 21st January 2011, Updated 25th February 2011
Department of Sustainability and Environment website, New maps show severity of floods in Victoria, 4 March 2011, viewed 24.03.2011
Victorian Government, Office of Water website, Victorian Floods January 2011, viewed 24.03.2011
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012",140.0,147.0,-40.0,-35.0,113,Riverine flooding impacted various rural centres across northern Victoria.,283300000.0,0.0,VIC,Jan11,1
CycYasi-Feb11,Cyclone Yasi,Queensland,"Ayr , Cairns , Townsville",Cyclone,2011-02-02,2011-02-03,1.0,,1405000000,https://knowledge.aidr.org.au/resources/cyclone-cyclone-yasi-queensland-2011/,"Cyclone Yasi developed as a tropical low north-west of Fiji on 29 January 2011. On 30 January, it was named Yasi by the Fiji Meteorological Service. On 2 February, it was upgraded to a Category 5 system and made landfall near Mission Beach (138 kilometres south of Cairns) between midnight and 1:00am (AEST) early on Thursday 3 February. It weakened to a tropical low near Mount Isa around 10:00pm on 3 February...The eye of the cyclone passed over Dunk Island and Mission Beach between Innisfail and Townsville bringing significant winds, the highest estimated at 285 kilometres per hour. Considerable damage occurred to the towns of Tully, Cardwell, Tully Heads, Innisfail, Ingham, Mission Beach, El Arish, Silkwood and Silky Oak and localities, however, the cyclone’s worst impact missed the major centres of Townsville and Cairns...Overall, approximately 1,000 people reported significant damage to their homes. Other impacts include power loss to more than 200,000 properties, cars found metres away from where they were left and boats piled on top of each other in some regions...Rainfall totals for the 24-hour period to 9:00am Thursday 3 February were 200-300 millimetres in the area between Cairns and Ayr, causing some flooding. A 5 metre tidal surge was observed at the storm tide gauge at Cardwell. Other sea inundation occurred between the beaches north of Cairns and Alva Beach, and there was some inundation in parts of the city of Townsville...There was one recorded death...The Australian Bureau of Agriculture and Resource Economics and Sciences estimated the cyclone caused a $300 million loss to agricultural production in Queensland, particularly the banana and sugarcane sector...The Federal Government processed more than $250 million worth of recovery grants in the first three weeks after the storm through Centrelink. Financial help was also available in the form of concessional loans for cyclone hit farmers up to $650,000...The Insurance Council of Australia estimated the preliminary 2011 damage at $1412 million...Evacuation.In response to warnings about the expected severity of the cyclone, and possible storm surges, approximately 10,000 northern Queenslanders living in low-lying areas evacuated to more than 100 official evacuation centres. Significant numbers were accommodated in unofficial evacuation centres established by communities and church groups. Thousands of people left the area and sought refuge with family and friends...Flights out of the region were fully booked. The hospital's 300 patients were evacuated to Brisbane and other regional hospitals by the the Australian Defence Force, Royal Flying Doctor Service and other means of transportation.  This was an unprecedented evacuation effort.","Bureau of Meteorology, Severe Tropical Cyclone Yasi, website viewed 11 February 2011.
Insurance Council of Australia, Historical disaster statistics, March 2012, website viewed 18 May 2012.
News.com.au, Bananas, sugar growers worst hit by Tropical Cyclone Yasi, website viewed 30 February 2011.
Queensland Government, Ministerial Media Statements, 7 February, website viewed 30 February 2011.
Queensland Government, Ministerial Media Statements, 15 February, website viewed 30 February 2011. 
Queensland Government, Ministerial Media Statements, 16 February, website viewed 30 February 2011.",143.0,155.0,-23.0,-10.0,114,"Cyclone Yasi developed as a tropical low north-west of Fiji on 29 January 2011. On 30 January, it was named Yasi by the Fiji Meteorological Service. On 2 February, it was upgraded to a Category 5 system and made landfall near Mission Beach (138 km south of Cairns) between midnight and 1 am (AEST) early on Thursday 3 February. It weakened to a tropical low near Mount Isa around 10 pm on 3 February. In response to warnings about the expected severity of the cyclone, and possible storm surges, approximately 10,000 northern Queenslanders living in low-lying areas evacuated to more than 100 official evacuation centres. Significant numbers were accommodated in unofficial evacuation centres established by communities and church groups. Thousands of people left the area and sought refuge with family and friends. Flights out of the region were fully booked. The hospital's 300 patients were evacuated to Brisbane and other regional hospitals by the the Australian Defence Force, Royal Flying Doctor Service and other means of transportation.  This was an unprecedented evacuation effort. The eye of the cyclone passed over Dunk Island and Mission Beach between Innisfail and Townsville bringing significant winds, the highest estimated at 285 km per hour. Considerable damage occurred to the towns of Tully, Cardwell, Tully Heads, Innisfail, Ingham, Mission Beach, El Arish, Silkwood and Silky Oak and localities, however, the cyclone’s worst impact missed the major centres of Townsville and Cairns. Overall, approximately 1000 people reported significant damage to their homes. Other impacts include power loss to more than 200,000 properties, cars found metres away from where they were left and boats piled on top of each other in some regions. Rainfall totals for the 24 hour period to 9 am Thursday 3 February were 200-300 mm in the area between Cairns and Ayr, causing some flooding. A 5 m tidal surge was observed at the storm tide gauge at Cardwell. Other sea inundation occurred between the beaches north of Cairns and Alva Beach, and there was some inundation in parts of the city of Townsville. The Australian Bureau of Agriculture and Resource Economics and Sciences estimated the cyclone caused a $300 million loss to agricultural production in Queensland, particularly the banana and sugarcane sector. The Federal Government processed more than $250 million worth of recovery grants in the first three weeks after the storm through Centrelink. Financial help was also available in the form of concessional loans for cyclone hit farmers up to $650,000. There was one recorded death.",2100700000.0,0.0,QLD,Feb11,1
Warum-Mar11,"Flood - Warum, Kimberly",Western Australia,Kimberly,Flood,2011-03-10,2011-03-14,,,17500000,https://knowledge.aidr.org.au/resources/flood-warmun-kimberley-2011/,"Between 10 -14 March 2011, the central and eastern Kimberley regions of Western Australia experienced extremely heavy rainfall, with more than 700 mm falling during the month over the Kimberley Plateau, caused by an active monsoon trough. A further slow moving tropical low caused extensive flood damage to infrastructure across the Fitzroy, Ord and Pentecost River catchments areas...A number of towns in the Kimberley region broke their highest March rainfall records including Warmun, Yulmbu and Gibb River...In the east Kimberley town of Warmun up to 500 people were evacuated when the town's 76 houses were either destroyed or deemed uninhabitable through flood inundation. Within days more than 290 members of the Warmun community were evacuated to the Ord Stage II Camp (Garrjang) in Kununurra...The Western Australian state government immediately pledged the initial sum of $500,000 to contribute toward the rebuilding of the town. The state government further contributed $15 million to construct a 200 bed temporary accommodation for the community. The federal government committed to reimburse 50 per cent of the cost through the National Disaster Relief and Recovery Arrangements. ..The Department of Housing allocated $9.5 million to repair the damaged roads and create new roads to the newly built replacement homes. The town also received more than $8 million from the Federal Government to help with recovery. The funding would be provided over two years under the Community Development Employment Projects program. Funds were allocated towards projects to enhance the economic and social development of the community, such as rebuilding and creating opportunities for locals to develop work skills to contribute to their community.","ABC News, ‘$9.5m paves way for new Warmun roads’, 21 September 2012, website viewed 17 December 2012
ABC News, ‘Arts centre scores flood insurance win’, 16 June 2011, website viewed 17 December 2012
ABC News, ‘Commonwealth to help fund Warmum rebuild’, 23 April 2011, website viewed 17 December 2012
ABC News, ‘Warmun flood risk remains’, 21 November 2012, website viewed 17 December 2012
ABC News, ‘Warmun marks floods anniversary’, 13 March 2012, website viewed 17 December 2012
Bureau of Meteorology, ‘ Western Australia in March 2011: Cool and wet in the north, but hot and dry in the southwest’, 1 April 2011, website viewed 19 December 2012
Hames, K (Deputy Premier) 2011, ‘Warmun flood declared a disaster, all residents safe’, media release, Western Australian Deputy Premiers office, 17 March, website viewed 17 December 2012
Macklin J (Minister for Families, Community Services and Indigenous Affairs, Minister for Disability Reform) 2011, media release, ‘Further funding support for Warmun’, 26 April, website viewed 17 December 2012
McClelland R, (Attorney-General) 2011, ‘Commonwealth Assistance for Warmun in Western Australia’, media release, Western Australian Deputy Premiers office, 21 April, website viewed 17 December 2012
WA today, ‘Devastated Warmun bolstered with funds’, 22 March 2011, website viewed 17 December 2012",115.0,135.0,-25.0,-10.0,,,,,WA,Mar11,1
NorthNswMoree-Nov11,Flood - Northern NSW - Moree,New South Wales,"Moree (NSW) , Narrabi , Tamworth",Flood,2011-11-27,2011-12-04,1.0,,Not Available,https://knowledge.aidr.org.au/resources/flood-moree-new-south-wales-2011/,"On 27 November 2011, heavy rainfall occurred in the northern inland areas of New South Wales. Flood warnings were issued for the Macleay, Severn, Macintyre, Gwydir, Mehi, Namoi and Peel Rivers...New South Wales State Emergency Service volunteers prepared Wee Waa with food and emergency supplies, with predictions that the swollen Namoi River would isolate the town for some days. The rising waters made the roads in Wee Waa inaccessible to all but four-wheel drive vehicles. Water levels exceeded 6 m around 9:00 am on 27 November, before reaching 7 m on 29 November with major flooding...Approximately 300 properties were isolated in Moree and the town was cut in two after rising waters forced the closure of the local bridge. More properties were cut off in Gunnedah and the village of Garah, as waters in the Namoi, Gwydir, Peel and Mehi Rivers continued to rise. One person drowned after being pulled into a storm water drain in Bingara, near Inverell...As the flood waters subsided and moved downstream, the Department of Primary Industries were able to assess the flood damage. Hundreds of livestock, mainly sheep, died with most of the losses occurring between Garah and Weemelah...It was estimated that approximately $52 million in flood damage occurred to the cotton industry in the Gwydir Valley. The local growers' association says initial estimates were based on around 18,000 hectares, with up to 30 per cent of the dryland crop and five per cent of irrigated crop being damaged...On 1 December 2011, the New South Wales Government gave natural disaster declarations to Moree Plains, Inverell, Armidale, Gunnedah, Narrabri, Gwydir, Muswellbrook, Liverpool Plains, Tamworth and the Upper Hunter Shire Councils.","ABC Mid North Coast NSW, ‘Floodwaters recede across mid-north coast’, 28 November 2011, website viewed 1 December 2011
ABC News, ‘Namoi River flooding continues’, 2 December 2011, website viewed 6 December 2011
ABC News, ‘NSW towns facing days of isolation’, 27 November 2011, website viewed 28 November 2011
ABC Rural Report, 5 December 2011, website viewed 6 December 2011
Ministry for Police and Emergency Services, More natural disaster declarations for Northern NSW, 1 December 2011, website viewed 6 December 2011
NSW Government, State Emergency Service, All clear for residents north of Iris Street, Moree, 29 November 2011, website viewed 30 November 2011
NSW Government, State Emergency Service, Flood watch issued for Namoi, Peel, Severn, Upper Macintyre Gwydir and Hunter river valleys, 30 November 2011, website viewed 30 November 2011
The Australian, ‘Roads closed as flood evacuations are urged in northern NSW town of Moree’, 28 November 2011, website viewed 30 November 2011",148.0,155.0,-33.0,-28.0,,,,,NSW,Nov11,1
